ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,y
TRAIN_000,22,0,0,0,9,4,11,1,0,1,2,0,0,25,1,3,6,2,0,2,0,28,1,1,5,1,5,0
TRAIN_001,1,0,0,0,12,4,4,0,3,1,3,1,7,9,0,7,6,2,1,1,0,48,2,0,4,2,1,0
TRAIN_002,27,0,0,0,10,0,1,0,0,0,10,1,5,6,0,7,6,1,0,1,0,57,3,1,3,3,3,0
TRAIN_003,1,0,0,0,9,9,11,1,3,1,2,1,7,9,1,7,6,2,1,1,0,25,2,2,2,1,1,1
TRAIN_004,16,0,0,0,12,4,1,0,3,1,2,1,5,6,1,7,6,2,1,1,0,24,1,1,4,3,3,0
TRAIN_005,81,0,0,0,12,4,4,1,3,1,1,1,7,6,1,7,6,1,0,1,0,18,1,0,3,3,1,0
TRAIN_006,20,0,0,0,9,9,4,0,3,1,2,1,5,25,2,7,6,1,0,1,0,24,5,1,2,4,3,0
TRAIN_007,28,2,0,0,10,9,4,1,1,0,2,0,7,9,1,6,6,1,0,2,0,54,2,0,5,2,3,0
TRAIN_008,27,0,0,0,9,0,4,0,3,1,2,1,7,9,1,7,6,1,1,2,0,40,4,0,2,2,4,1
TRAIN_009,1,0,1,0,5,3,4,1,0,1,5,1,7,6,1,6,6,2,1,1,1,32,1,0,1,4,1,0
TRAIN_010,40,0,1,0,5,3,4,1,3,1,2,1,5,21,1,3,6,1,0,1,1,40,2,0,4,4,3,0
TRAIN_011,27,0,0,0,9,4,11,0,3,0,2,1,7,25,1,3,6,1,0,1,0,41,2,0,2,1,2,0
TRAIN_012,18,0,1,0,5,3,11,2,3,0,2,1,5,6,1,7,6,1,0,1,1,1,2,2,2,4,6,1
TRAIN_013,5,0,0,0,9,4,4,0,3,1,3,1,7,6,0,7,6,1,0,1,0,16,3,0,1,3,1,0
TRAIN_014,39,2,0,0,10,2,4,2,3,0,2,0,0,25,2,7,6,2,1,1,0,25,4,1,5,2,1,0
TRAIN_015,74,0,0,0,8,9,11,1,3,1,1,1,7,25,1,3,6,1,0,2,0,33,4,0,3,4,3,0
TRAIN_016,10,0,1,0,5,3,1,1,0,1,2,0,5,9,1,7,6,2,0,1,3,15,6,1,3,1,4,1
TRAIN_017,31,0,0,0,9,6,4,0,3,1,4,0,7,6,1,7,6,1,0,3,0,10,2,2,1,2,2,0
TRAIN_018,24,0,0,0,9,4,4,1,3,1,3,1,7,25,1,3,6,2,0,1,0,27,2,1,2,2,2,1
TRAIN_019,54,0,1,0,5,3,4,0,3,1,3,1,0,25,1,6,6,2,1,2,1,17,3,0,3,2,2,0
TRAIN_020,27,0,0,0,12,9,4,0,2,0,2,1,5,9,1,6,6,1,1,1,0,16,2,1,1,1,4,0
TRAIN_021,17,0,0,0,9,9,4,0,3,1,3,1,7,6,1,7,6,1,1,3,0,54,1,1,5,3,6,0
TRAIN_022,38,0,0,0,9,6,4,0,3,0,2,1,5,9,1,7,6,1,1,1,0,15,1,1,2,1,1,1
TRAIN_023,5,0,0,0,9,0,4,0,3,0,2,1,7,6,1,7,6,2,1,2,0,17,3,2,3,1,2,1
TRAIN_024,22,0,0,0,9,6,11,0,3,0,2,1,7,9,1,3,6,1,0,2,0,14,2,0,2,5,3,0
TRAIN_025,11,0,0,0,9,0,4,0,3,1,4,0,7,9,1,3,6,1,1,2,0,22,1,1,3,2,1,0
TRAIN_026,1,0,0,2,9,2,11,1,3,0,3,1,7,9,2,7,6,2,1,1,0,29,1,1,4,3,1,0
TRAIN_027,1,0,0,0,10,0,11,1,3,1,3,1,5,6,1,7,6,1,0,1,0,22,1,2,2,1,4,0
TRAIN_028,31,0,0,0,10,9,11,0,3,1,5,1,0,6,1,7,6,1,0,1,0,40,3,1,3,4,6,0
TRAIN_029,30,2,0,0,9,9,4,1,1,1,1,0,7,9,1,6,6,2,0,2,0,22,2,2,1,2,1,1
TRAIN_030,16,0,0,0,10,9,4,0,0,1,3,1,7,9,0,3,6,2,0,2,0,39,2,1,3,4,2,1
TRAIN_031,65,0,1,0,5,3,4,0,3,1,1,1,7,6,2,3,6,2,1,1,1,16,1,0,1,2,2,0
TRAIN_032,3,0,0,0,12,2,1,1,0,0,4,1,7,9,2,3,6,1,0,1,0,28,2,1,2,1,4,0
TRAIN_033,22,0,0,0,9,9,11,0,0,1,1,0,5,9,0,7,6,1,1,3,0,15,2,1,1,3,1,1
TRAIN_034,31,0,1,0,5,3,4,0,3,0,1,0,7,6,2,7,6,2,0,1,2,26,1,2,2,1,3,0
TRAIN_035,10,0,0,0,10,9,4,1,3,0,3,1,8,21,1,7,6,1,0,2,0,26,2,1,3,1,5,0
TRAIN_036,20,0,0,0,9,9,4,2,3,0,2,1,5,6,1,3,6,1,1,2,0,21,3,0,2,2,1,0
TRAIN_037,30,0,1,0,5,3,4,1,0,0,2,1,7,6,1,7,6,1,1,1,2,6,2,0,2,2,1,0
TRAIN_038,34,0,0,0,8,4,1,1,3,1,2,0,7,6,1,7,6,1,1,1,0,8,2,1,1,3,1,0
TRAIN_039,15,0,1,0,5,3,4,0,2,1,1,1,5,21,1,6,6,2,0,1,1,26,2,0,1,2,4,1
TRAIN_040,24,0,0,0,9,4,11,1,3,1,2,1,5,6,0,7,6,2,0,1,0,15,1,1,1,1,2,0
TRAIN_041,26,0,0,0,9,4,4,2,3,1,1,0,7,6,1,7,6,1,0,1,0,34,3,0,2,2,4,0
TRAIN_042,11,0,0,0,9,0,11,0,3,0,2,1,5,25,1,3,6,2,0,1,0,24,1,1,3,2,4,0
TRAIN_043,16,0,1,0,5,3,4,2,3,1,2,1,5,6,1,7,6,2,1,2,2,3,5,1,2,4,2,0
TRAIN_044,20,0,0,0,10,9,1,0,3,1,4,1,7,6,1,3,6,2,1,2,0,13,3,0,3,2,4,1
TRAIN_045,22,0,0,0,10,9,4,1,3,1,5,1,5,9,2,3,6,1,0,2,0,32,2,0,2,4,1,1
TRAIN_046,38,0,0,0,10,0,4,1,3,0,2,1,7,9,1,7,6,2,1,1,0,64,1,0,4,2,3,1
TRAIN_047,24,0,0,0,9,9,4,0,0,1,2,0,7,25,1,7,6,1,0,1,0,41,3,0,1,1,1,1
TRAIN_048,11,0,0,0,9,9,4,0,0,0,1,1,7,6,1,7,6,1,0,1,0,37,2,0,2,1,1,0
TRAIN_049,7,0,0,0,9,9,4,1,3,1,1,1,5,6,1,3,6,1,0,1,0,32,1,0,1,3,2,1
TRAIN_050,0,3,0,0,12,9,4,2,3,0,2,0,0,25,1,7,6,0,0,1,0,24,1,0,3,1,3,0
TRAIN_051,20,0,0,0,9,4,4,0,3,1,2,1,7,6,0,3,6,2,1,1,0,26,1,0,3,1,2,0
TRAIN_052,13,0,0,0,9,9,4,0,3,1,3,0,0,9,1,7,6,2,0,1,0,42,1,1,1,2,1,1
TRAIN_053,47,0,0,0,9,2,4,0,3,1,1,1,5,9,1,7,6,1,0,1,0,24,2,0,1,2,3,0
TRAIN_054,4,0,0,0,9,0,9,0,3,1,2,0,5,6,1,6,6,1,1,2,0,30,1,2,1,3,4,1
TRAIN_055,44,2,1,0,5,3,4,0,1,0,1,0,5,9,1,7,6,2,0,1,0,9,1,0,3,1,5,0
TRAIN_056,11,0,0,0,9,9,4,0,3,1,1,1,7,9,2,3,6,2,0,1,0,18,1,0,1,1,1,0
TRAIN_057,31,0,0,0,12,9,4,0,0,1,5,0,7,9,0,6,6,1,0,1,0,18,1,0,6,1,6,0
TRAIN_058,24,0,0,0,10,9,4,1,3,0,1,1,7,9,1,7,6,1,0,1,0,3,1,0,2,1,2,0
TRAIN_059,24,0,0,0,9,9,4,1,0,1,3,0,5,6,1,3,6,2,0,2,0,40,1,0,1,1,1,1
TRAIN_060,20,0,0,0,9,9,4,2,0,0,2,1,0,9,1,3,6,1,1,2,0,14,1,0,1,1,1,0
TRAIN_061,45,3,0,0,8,9,11,0,3,1,3,0,5,21,0,7,6,2,1,1,0,36,3,0,4,2,3,0
TRAIN_062,3,0,1,0,5,3,4,0,3,1,2,1,7,9,1,3,6,2,0,2,1,18,4,1,5,2,3,0
TRAIN_063,15,0,0,0,9,9,4,1,3,1,2,1,1,25,1,7,6,1,0,1,0,13,1,0,1,2,2,1
TRAIN_064,20,0,0,0,9,9,11,0,3,1,5,1,7,6,0,7,6,2,1,1,0,4,2,0,5,3,3,0
TRAIN_065,72,2,0,0,10,4,4,0,0,0,1,1,5,25,1,3,6,1,0,1,0,21,1,0,3,2,2,0
TRAIN_066,11,0,0,0,9,0,11,1,0,1,2,1,7,6,0,3,6,2,0,1,0,30,2,0,4,1,1,0
TRAIN_067,29,0,0,0,9,8,11,0,3,1,2,1,0,9,1,3,6,1,1,1,0,13,5,0,3,2,3,0
TRAIN_068,24,0,0,0,9,9,4,1,0,1,2,0,5,6,1,7,6,1,0,1,0,33,2,0,2,2,3,0
TRAIN_069,8,0,0,0,9,8,4,0,3,1,1,1,7,6,2,3,6,2,0,1,0,21,1,0,2,1,2,0
TRAIN_070,63,0,0,0,10,4,4,0,3,1,2,1,5,6,1,7,6,2,0,1,0,40,2,0,3,2,3,1
TRAIN_071,27,0,0,0,9,9,4,2,3,0,2,1,7,9,1,7,6,1,0,1,0,25,3,0,2,2,5,0
TRAIN_072,56,0,1,0,5,3,4,1,3,1,3,0,5,6,1,7,6,1,0,2,1,11,1,0,1,1,4,0
TRAIN_073,26,0,1,0,5,3,4,1,3,1,1,1,7,6,1,6,6,2,0,1,1,1,1,1,2,1,3,1
TRAIN_074,16,0,0,0,12,9,4,1,3,0,4,1,5,6,2,3,6,2,1,1,0,22,1,0,4,1,3,1
TRAIN_075,10,0,0,0,9,9,4,1,3,1,3,0,7,9,1,3,6,1,1,1,0,25,4,1,2,2,1,0
TRAIN_076,17,0,0,0,10,4,4,1,0,1,2,1,5,25,1,3,6,2,1,1,0,23,4,0,5,1,3,0
TRAIN_077,32,1,0,0,10,0,11,1,0,0,2,1,7,6,1,3,6,1,1,1,0,30,3,0,2,2,2,0
TRAIN_078,69,0,1,0,5,3,11,1,3,1,4,1,7,21,1,7,6,1,0,1,1,43,2,1,4,1,5,1
TRAIN_079,80,0,0,0,12,9,4,1,3,1,2,1,5,6,1,3,6,1,0,1,0,26,1,0,2,1,2,0
TRAIN_080,27,2,0,0,5,9,4,0,1,0,2,1,7,6,1,7,6,2,0,1,0,13,1,1,1,1,3,0
TRAIN_081,28,0,1,0,5,3,4,0,0,1,1,1,7,25,1,7,6,2,1,1,1,26,2,0,2,1,3,1
TRAIN_082,87,0,0,0,9,4,4,1,0,1,2,1,0,9,1,7,6,1,0,1,0,37,1,0,2,3,3,1
TRAIN_083,26,0,0,0,9,9,4,0,3,1,2,0,5,9,0,6,6,1,0,1,0,29,2,0,2,1,3,0
TRAIN_084,21,0,1,0,5,3,11,0,0,1,2,0,0,25,1,7,6,2,1,2,1,51,1,0,1,2,2,1
TRAIN_085,47,0,0,0,9,4,4,0,0,1,2,1,5,6,1,3,6,2,0,1,0,19,1,1,2,3,1,1
TRAIN_086,56,0,0,0,9,9,4,0,3,1,3,0,7,6,1,7,6,1,0,2,0,73,5,0,2,2,5,0
TRAIN_087,13,0,0,0,8,0,4,0,3,1,3,1,5,25,0,3,6,2,0,1,0,18,6,1,2,5,3,0
TRAIN_088,18,0,0,0,10,4,11,0,2,1,3,0,7,9,0,7,6,1,1,2,0,19,1,0,4,2,3,0
TRAIN_089,2,3,1,0,5,3,11,1,3,1,3,1,5,9,1,7,6,2,0,1,1,1,3,1,2,1,4,0
TRAIN_090,57,0,0,0,12,9,4,0,0,1,2,1,7,9,1,7,6,2,0,1,0,54,2,1,2,1,2,0
TRAIN_091,0,3,0,0,12,4,11,1,3,1,1,1,5,6,1,7,6,0,0,1,0,2,1,0,1,1,1,0
TRAIN_092,13,0,0,0,9,9,4,1,3,1,3,1,7,6,1,3,6,2,1,1,0,21,3,0,2,1,2,0
TRAIN_093,0,0,0,0,9,9,4,2,3,0,2,1,5,6,0,6,6,1,0,1,0,17,1,1,1,1,1,0
TRAIN_094,42,0,0,0,10,2,4,0,1,0,2,1,5,9,0,7,6,2,1,1,0,16,1,3,1,1,1,0
TRAIN_095,21,0,0,0,9,8,11,1,3,0,2,1,5,6,1,6,6,1,1,1,0,69,3,0,4,1,2,1
TRAIN_096,3,0,0,0,9,4,4,0,3,1,3,1,7,6,1,7,6,2,1,1,0,42,3,0,2,2,1,0
TRAIN_097,10,0,0,0,9,2,3,1,3,0,3,0,5,6,1,7,6,1,1,2,0,29,1,0,2,1,3,0
TRAIN_098,31,3,0,0,10,9,4,1,3,1,2,0,7,9,1,7,6,2,0,1,0,29,3,0,2,2,6,0
TRAIN_099,22,0,0,0,10,9,4,2,0,0,0,0,5,25,2,7,6,1,1,1,0,22,2,0,4,1,3,0
TRAIN_100,28,0,0,0,12,9,4,0,3,1,2,1,5,9,0,7,6,2,1,1,0,1,3,0,3,2,1,0
TRAIN_101,31,0,0,0,12,9,8,0,0,1,5,0,3,11,1,7,6,1,0,1,0,38,5,0,3,1,6,0
TRAIN_102,0,3,0,0,12,9,4,0,3,1,3,1,5,6,1,6,6,0,0,1,0,32,1,1,2,2,3,0
TRAIN_103,31,0,0,0,10,0,1,0,3,1,2,1,5,9,1,7,6,1,0,1,0,36,4,0,4,3,5,0
TRAIN_104,59,3,0,0,8,9,11,0,3,1,1,1,7,21,1,7,6,1,0,1,0,13,1,3,2,1,4,0
TRAIN_105,10,1,0,0,12,9,4,1,3,1,2,1,7,9,1,7,6,1,0,1,0,22,1,2,3,3,5,0
TRAIN_106,73,0,1,0,5,3,11,1,3,1,4,1,5,6,1,7,6,1,0,1,2,18,2,2,2,1,2,1
TRAIN_107,16,0,0,0,9,4,4,1,3,1,1,1,7,9,1,3,6,1,1,1,0,22,3,0,3,2,3,0
TRAIN_108,24,0,0,0,9,0,4,1,3,1,1,0,5,19,1,7,6,2,1,1,0,17,1,0,1,1,5,1
TRAIN_109,34,0,1,0,5,3,1,0,3,1,2,1,7,9,1,7,6,2,1,1,1,9,5,0,6,3,5,0
TRAIN_110,26,0,1,0,5,3,4,0,0,1,4,0,5,9,1,7,6,2,1,1,1,17,2,0,3,4,3,0
TRAIN_111,6,0,0,0,10,9,4,0,3,1,2,1,5,21,0,3,5,1,1,2,0,24,4,0,4,2,1,1
TRAIN_112,13,0,1,0,5,3,11,0,0,1,2,1,7,9,1,7,6,2,1,1,2,9,2,1,2,1,4,0
TRAIN_113,8,0,0,0,9,4,4,0,3,0,2,0,5,6,1,7,6,1,0,1,0,14,1,0,1,1,1,0
TRAIN_114,11,0,0,0,10,4,11,0,0,1,2,0,7,9,0,3,6,1,1,1,0,17,1,0,1,1,1,0
TRAIN_115,11,0,0,0,9,4,4,2,0,0,1,1,0,21,1,3,6,2,0,1,0,16,1,0,1,2,1,0
TRAIN_116,22,0,0,0,10,4,4,0,3,1,2,1,7,9,1,7,6,1,1,1,0,9,3,0,1,3,6,0
TRAIN_117,76,0,1,0,5,3,4,0,3,1,1,0,5,6,0,7,6,2,0,2,1,14,1,1,3,3,4,1
TRAIN_118,38,0,1,0,5,3,4,0,3,1,2,1,5,9,1,7,6,1,1,2,1,84,2,0,2,3,2,0
TRAIN_119,35,0,0,0,9,9,4,1,0,0,2,1,5,9,1,3,6,1,1,1,0,29,1,0,1,2,3,0
TRAIN_120,54,0,0,0,10,8,4,2,3,0,1,1,5,6,2,7,6,1,1,2,0,10,3,1,3,1,1,0
TRAIN_121,7,0,0,0,8,8,1,0,3,1,4,1,7,9,1,7,6,1,0,1,0,35,2,2,1,2,1,0
TRAIN_122,2,0,0,0,8,4,4,1,3,1,2,1,7,25,1,3,6,2,1,1,0,40,7,0,4,4,6,0
TRAIN_123,34,0,0,0,10,9,4,0,3,1,2,1,7,9,1,3,6,2,0,1,0,1,1,0,3,1,2,0
TRAIN_124,16,0,0,0,12,4,4,0,3,1,4,1,5,9,1,7,6,2,1,1,0,97,3,2,2,3,5,1
TRAIN_125,16,0,0,0,12,9,4,0,3,1,2,1,7,25,1,7,6,2,0,1,0,35,2,0,2,3,3,0
TRAIN_126,11,0,0,0,9,9,4,0,3,1,2,0,5,25,0,7,6,1,0,1,0,12,1,0,3,1,1,0
TRAIN_127,30,0,0,0,9,6,4,1,3,1,1,1,7,9,1,7,6,2,1,1,0,36,1,0,2,2,2,0
TRAIN_128,73,0,0,0,12,9,4,0,3,1,3,0,7,9,1,7,6,1,0,2,0,43,2,0,1,3,3,0
TRAIN_129,20,0,0,0,9,9,4,0,3,1,2,1,7,9,1,7,6,2,1,1,0,32,3,1,3,2,4,0
TRAIN_130,30,2,0,0,8,4,4,0,3,1,1,1,5,9,1,7,6,1,0,2,0,60,2,0,4,1,2,0
TRAIN_131,13,0,0,0,10,9,4,1,3,1,2,1,7,25,1,7,6,2,0,1,0,84,2,0,3,3,5,0
TRAIN_132,27,0,0,0,8,8,4,2,3,0,2,1,5,9,1,7,6,1,0,1,0,6,2,2,2,4,4,0
TRAIN_133,15,0,0,0,9,4,4,0,3,1,2,0,5,25,1,3,6,1,0,1,0,27,2,0,4,1,1,0
TRAIN_134,38,0,1,0,5,3,4,2,0,0,3,1,5,21,1,7,6,2,1,1,2,21,3,0,3,3,3,1
TRAIN_135,27,0,0,0,9,4,4,0,3,1,1,1,7,9,1,7,6,2,1,1,0,34,2,0,3,3,4,0
TRAIN_136,22,0,1,0,5,3,4,0,3,1,3,1,7,6,1,7,6,1,0,1,1,17,4,1,1,1,1,1
TRAIN_137,18,0,0,0,9,4,11,1,3,1,1,1,5,6,1,3,6,1,1,1,0,23,2,0,1,1,4,0
TRAIN_138,8,0,0,0,9,9,4,0,3,1,2,0,7,6,1,6,6,2,1,3,0,17,2,1,2,1,2,0
TRAIN_139,69,0,0,0,9,9,4,2,3,0,2,1,5,6,1,6,6,1,1,1,0,16,1,0,1,1,1,0
TRAIN_140,18,0,0,0,9,0,1,0,3,1,3,1,7,6,1,3,6,1,0,1,0,35,1,0,2,1,1,0
TRAIN_141,62,2,0,0,12,0,4,1,1,0,2,0,7,9,2,3,6,2,0,1,0,8,1,2,3,2,3,0
TRAIN_142,31,0,0,0,10,8,4,2,3,0,2,1,5,6,1,7,6,1,0,1,0,8,2,2,1,2,3,0
TRAIN_143,84,0,1,0,5,3,1,0,3,1,2,1,5,9,1,6,6,2,1,1,1,95,3,0,4,2,2,0
TRAIN_144,58,1,0,0,10,4,1,0,3,1,2,0,5,9,1,7,6,1,0,1,0,63,3,1,2,1,2,0
TRAIN_145,1,0,0,0,9,4,4,2,0,0,1,1,7,6,1,3,6,1,1,1,0,23,2,0,2,2,1,0
TRAIN_146,8,0,1,0,5,3,1,0,3,1,1,1,5,25,1,3,6,1,1,1,1,18,1,0,1,1,1,0
TRAIN_147,31,0,0,0,8,9,4,0,2,1,1,1,5,25,1,3,6,1,0,1,0,14,1,0,2,1,2,1
TRAIN_148,54,0,0,0,10,9,9,0,0,1,3,1,7,25,0,3,6,1,1,1,0,15,4,0,4,2,4,0
TRAIN_149,30,0,0,0,9,9,4,2,3,0,2,0,5,6,1,3,6,1,0,1,0,18,3,0,2,2,3,0
TRAIN_150,10,0,1,0,5,3,4,1,3,1,1,0,5,25,1,3,6,2,1,1,1,38,2,0,4,1,5,1
TRAIN_151,18,0,0,0,9,4,11,1,3,1,2,1,5,6,1,7,6,1,1,1,0,40,2,2,2,2,3,0
TRAIN_152,18,0,1,0,5,3,1,0,0,1,1,0,5,25,1,7,6,2,1,1,2,13,1,0,5,2,3,1
TRAIN_153,31,0,1,0,5,3,4,2,0,0,2,1,5,9,2,7,6,1,0,2,1,1,4,0,4,1,6,0
TRAIN_154,65,0,0,0,9,0,1,1,0,0,2,1,5,9,0,3,6,1,1,2,0,54,2,2,4,3,4,0
TRAIN_155,68,1,0,0,10,8,11,0,3,1,2,1,7,6,1,7,6,2,0,1,0,37,3,0,2,3,4,0
TRAIN_156,48,0,0,0,8,4,4,1,3,1,2,0,5,21,1,3,6,1,0,1,0,37,3,0,3,2,4,0
TRAIN_157,48,0,0,0,12,0,2,0,3,1,4,1,7,21,1,3,6,1,1,1,0,24,2,0,5,1,6,0
TRAIN_158,11,0,0,0,9,6,1,1,3,0,2,1,7,25,0,3,6,2,1,2,0,82,4,0,3,1,1,0
TRAIN_159,57,0,0,0,8,4,11,0,3,1,6,1,5,6,1,7,6,2,0,1,0,27,2,2,3,2,1,0
TRAIN_160,8,3,1,0,5,3,4,1,3,1,2,0,5,21,1,7,6,1,0,1,1,84,3,1,1,1,1,0
TRAIN_161,38,0,1,0,5,3,4,1,3,1,2,0,7,6,0,7,6,1,1,1,2,9,1,0,1,3,2,1
TRAIN_162,26,0,0,0,9,0,11,1,3,0,1,0,7,6,1,7,6,2,0,2,0,63,3,0,2,2,4,0
TRAIN_163,8,0,0,0,9,0,4,0,3,1,2,1,7,9,1,7,6,1,0,1,0,5,3,0,3,3,1,0
TRAIN_164,54,0,0,0,10,4,1,0,3,1,1,1,7,9,1,7,6,1,1,1,0,10,1,1,1,1,2,0
TRAIN_165,31,0,1,0,5,3,11,0,3,1,3,1,0,9,2,7,6,1,0,2,1,55,2,0,1,1,3,0
TRAIN_166,1,0,1,0,5,3,11,2,0,0,4,1,7,6,1,7,6,2,1,3,3,17,3,2,4,2,1,1
TRAIN_167,18,0,0,0,12,4,4,0,0,1,2,1,5,9,1,7,6,1,0,1,0,8,2,0,4,1,2,0
TRAIN_168,27,0,1,0,5,3,1,0,3,1,3,1,5,9,1,7,6,2,0,2,2,14,1,1,3,2,4,0
TRAIN_169,27,3,1,0,5,3,4,0,3,1,2,1,7,25,1,3,6,2,1,1,1,13,5,1,2,3,1,0
TRAIN_170,18,0,0,0,8,8,11,0,3,1,1,0,5,6,1,7,6,1,0,1,0,10,1,2,2,3,3,1
TRAIN_171,50,3,0,0,10,2,9,0,3,1,2,1,7,6,1,7,6,1,0,1,0,11,2,1,2,3,3,0
TRAIN_172,18,0,0,0,12,4,11,0,3,1,3,1,5,6,0,7,6,1,1,1,0,14,5,0,4,3,1,0
TRAIN_173,16,0,0,0,9,0,9,0,0,1,2,0,5,21,1,7,6,2,1,1,0,48,3,0,2,3,1,0
TRAIN_174,47,0,0,0,9,6,4,0,0,1,2,1,7,6,1,3,6,2,1,1,0,23,3,1,3,3,5,0
TRAIN_175,70,0,0,0,8,2,1,1,3,1,3,1,7,9,2,3,6,2,1,1,0,19,1,1,2,1,4,1
TRAIN_176,35,0,0,0,12,4,11,1,0,0,2,1,7,6,2,3,6,1,0,1,0,49,1,0,1,1,4,1
TRAIN_177,11,0,0,0,9,8,4,1,3,1,3,1,7,25,2,7,6,1,1,1,0,27,2,0,3,2,3,0
TRAIN_178,11,0,0,0,10,9,11,0,0,1,2,1,7,6,1,7,6,2,0,1,0,26,1,0,3,2,1,0
TRAIN_179,22,0,1,0,5,3,11,1,3,1,1,1,7,25,2,7,6,1,0,2,1,47,2,1,2,2,3,1
TRAIN_180,27,0,1,0,5,3,4,2,3,0,2,0,0,6,2,3,6,1,1,1,1,11,1,2,1,1,1,1
TRAIN_181,13,0,0,0,9,9,4,2,3,0,2,1,0,6,1,2,6,2,1,1,0,35,1,0,1,2,4,0
TRAIN_182,16,0,1,0,5,3,11,1,3,1,3,0,7,9,1,7,6,2,1,1,2,25,6,0,4,3,4,0
TRAIN_183,13,0,0,1,9,9,4,1,0,1,3,0,7,25,2,7,6,1,1,1,0,52,3,0,3,2,3,1
TRAIN_184,20,0,0,0,12,9,4,2,3,0,3,1,5,9,0,7,6,1,1,2,0,19,1,0,1,1,1,0
